	YER	PCR	ITR	GCR	MTR	XTR	SZR	YED	PCD	ITD	GCD	MTD	XTD	TOT	EEN	USD	QTAUF	QTEXPA	QTLAG	QTPR	QTPRO	QTBAUF	QTBPR	QTBBGL	QTBAGL	ECOSEN	INDSEN	KTPROL	KTAUF	KTAUSL	KTLAG	KTPRON	KTVPN	BAUVPN	EECOS	EINDSE	EBAUSE	EHANSE	EKONSE	IFOERW	IFOKL	IFOGL	PMI	HICP	HICP_FO	HICP_PF	HICP_UF	HICP_G	HICP_IG	HICP_GX	HICP_E	HICP_S	HICP_XA	HICP_XE	HICP_XF	HICP_XG	VPIG86	VPI_WOH8	TLIG86	TLIARG86	TLIANG86	GHPIG	GHPIOS	GHPIGG	GHPIGL	GHPIGK	GHPIVBG	GHPIKONG	GHPIINVG	GHPIINTG	OEL	EXPG	EXP6	EXP7	EXP8	IMPG	IMP6	IMP7	IMP8	EXP_US	EXP_EU	EXP_DE	IMP_US	IMP_EU	IMP_DE	ALQN	ALQNSA	ALOSM	ALOSW	OFST	STANDR	INDPROD	ATX	M1	M2	M3	DAX	DowJones	STI	SEKMRE	YIELD	DCR_HH	DCR_F	DCR_G	DEBT	DCR
	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	5.0000 	5.0000 	6.0000 	6.0000 	6.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	9.0000 	9.0000 	9.0000 	9.0000 	9.0000 	9.0000 	10.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 
1988Q1	37107.26581	21908 	8190 	7198 	11431 	11301 	-58 	0.77 	0.76 	0.78 	0.77 	0.85 	0.88 	1.04 	1.17 	1.17 	-23.4 	-33.9 	12.7 	8.3 	6.1 	-24.2 	-10.8 	-21.9 	-22.9 	142.2272 	-9.0000 	6.0000 	-19.0000 	-31.0000 	12.0000 	3.0000 	6.0000 	-8.3333 	103.5333 	-3.6667 	-18.0000 	-4.6667 	-13.6667 	98.6109 	97.3936 	98.0424 	56.1000 	70.6733 	76.3033 	78.1333 	73.6746 	78.4884 	79.3303 	83.8208 	64.1200 	59.7140 	70.7605 	71.3178 	69.8711 	71.1160 	102.9847 	104.4071 	106.5954 	106.9095 	105.2622 	97.5054 	97.7784 	101.4442 	100.9372 	99.4142 	100.2525 	101.4270 	98.6309 	94.6935 	15.8933 	6537.7273 	2175.9411 	2209.4896 	901.9218 	7901.9076 	1508.8741 	2834.7658 	1355.2586 	228.9698 	4455.7834 	2382.8481 	275.1868 	5609.7257 	3541.3074 	5.5833 	5.4667 	92626.4358 	92626.4358 	28515.5358 	592.7657 	62.9664 	451.8200 	32.5233 	75.3969 	76.8315 	1029.0667 	1990.7700 	4.3300 	6.8967 	2.5667 	21797.7983 	54648.0340 	25517.8522 	104342.0123 	105705.4337 
1988Q2	37562.51968	22198 	8324 	7217 	11796 	11610 	11 	0.78 	0.77 	0.79 	0.78 	0.85 	0.88 	1.04 	1.17 	1.15 	-12.7 	-25.5 	9.9 	5.2 	8.1 	-19.5 	-6.5 	-15.5 	-16.1 	165.8092 	-5.0000 	13.6667 	-12.3333 	-26.3333 	8.0000 	6.0000 	9.0000 	-5.3333 	107.2333 	-1.3333 	-20.0000 	-3.0000 	-11.0000 	101.7908 	100.1902 	100.9542 	56.8667 	70.8267 	76.7867 	78.2333 	73.1602 	78.5084 	79.3697 	84.2267 	63.1833 	60.1583 	70.9804 	71.6265 	70.3288 	71.5441 	103.4229 	104.8735 	107.7884 	108.0101 	106.0360 	97.5664 	98.0067 	101.4027 	100.8654 	99.1374 	98.8942 	100.7759 	97.8853 	95.5362 	16.0069 	6840.7517 	2237.4668 	2331.0693 	919.2646 	8113.0459 	1541.2141 	2960.2680 	1389.9536 	243.9442 	4677.5471 	2491.6589 	284.2419 	5758.0247 	3634.1395 	5.3210 	5.4333 	90499.0256 	90499.0256 	29185.4351 	557.5683 	64.0937 	460.2567 	33.2297 	76.5004 	77.9119 	1078.5333 	2043.3267 	4.0800 	6.8433 	2.7633 	22369.9316 	55753.5983 	25683.9540 	106173.3061 	107597.9994 
1988Q3	38024.34184	22434 	8455 	7272 	12178 	11949 	92 	0.79 	0.77 	0.79 	0.79 	0.86 	0.89 	1.04 	1.19 	1.05 	-4.4 	-19.1 	5.2 	10.9 	9.3 	-12.2 	2.4 	-6.7 	-13.6 	180.7635 	-1.6667 	18.0000 	-6.6667 	-20.0000 	6.0000 	8.0000 	13.3333 	-6.6667 	110.4000 	2.0000 	-12.0000 	-2.0000 	-9.3333 	103.5975 	101.4259 	102.4958 	56.2333 	71.2333 	77.0633 	78.2609 	71.8964 	78.8470 	79.7046 	84.6356 	63.0467 	60.6174 	71.3098 	72.0394 	70.7446 	71.9796 	104.0083 	105.6470 	108.9470 	109.2155 	106.9035 	98.0895 	98.7717 	101.6502 	101.1227 	99.1054 	98.3377 	100.5944 	97.9449 	96.8736 	14.1460 	7091.1577 	2297.8575 	2424.5108 	937.7460 	8404.9356 	1601.4158 	3107.9071 	1429.2244 	253.5299 	4845.0581 	2605.8349 	295.0234 	5968.5981 	3761.5551 	5.2411 	5.3000 	89084.5820 	89084.5820 	32030.8626 	495.0077 	66.0742 	491.6400 	33.8733 	77.6424 	79.0853 	1190.3667 	2078.5267 	5.5800 	6.9933 	1.4133 	22846.1721 	56706.0323 	25771.0098 	107937.8785 	109331.9070 
1988Q4	38417.25932	22636 	8569 	7327 	12509 	12293 	102 	0.79 	0.78 	0.80 	0.80 	0.86 	0.90 	1.04 	1.18 	1.10 	1.0 	-14.4 	4.5 	20.0 	7.0 	-4.1 	3.2 	-0.3 	-11.7 	198.0186 	2.3333 	21.3333 	-0.6667 	-14.6667 	5.6667 	13.6667 	16.6667 	8.3333 	113.7000 	5.0000 	-10.6667 	1.6667 	-6.6667 	106.4160 	101.9462 	104.1058 	55.6667 	71.3567 	76.7767 	78.1951 	71.7376 	79.0024 	79.8771 	85.0262 	62.6500 	61.0867 	71.6161 	72.4049 	71.1943 	72.3845 	104.5428 	106.3278 	110.1540 	110.4861 	107.8518 	98.1275 	98.7123 	101.6783 	100.9660 	99.5370 	97.9743 	100.2968 	97.5671 	97.3496 	13.2533 	7424.5724 	2316.4055 	2517.7560 	959.8961 	8651.1009 	1670.2549 	3209.8007 	1442.9759 	255.6281 	5057.2981 	2702.1562 	305.6907 	6152.7972 	3871.0277 	5.0939 	5.1667 	87062.1161 	87062.1161 	35561.5638 	444.7809 	65.7941 	534.0700 	34.5048 	78.7345 	80.2907 	1287.4667 	2130.6433 	5.8333 	6.7067 	0.8733 	23368.3633 	57980.1717 	25823.5881 	110106.9636 	111582.5691 
1989Q1	38721.23249	22819 	8662 	7370 	12784 	12638 	15 	0.80 	0.78 	0.80 	0.79 	0.87 	0.90 	1.04 	1.19 	1.06 	-3.9 	-13.3 	7.1 	18.3 	16.8 	-12.9 	1.4 	-7.9 	-8.0 	200.8944 	3.0000 	25.3333 	1.3333 	-9.6667 	6.0000 	14.0000 	16.3333 	4.6667 	113.4000 	5.6667 	-7.3333 	-0.3333 	-6.6667 	107.2109 	102.4665 	104.7910 	53.4333 	71.9600 	76.5867 	78.2050 	71.7627 	79.3043 	80.3837 	85.5637 	63.0967 	61.5502 	72.0509 	72.8055 	71.6834 	72.8138 	105.2714 	107.2642 	111.3592 	111.8546 	108.8510 	98.5448 	98.9766 	101.6106 	100.9561 	99.4142 	98.1041 	100.5090 	97.0454 	98.2754 	17.0632 	7642.1727 	2331.3249 	2577.9569 	983.7914 	8930.7008 	1748.6598 	3296.5403 	1355.0249 	252.4361 	5212.3669 	2751.6281 	316.9613 	6336.4700 	3963.7714 	4.9858 	4.9000 	81464.8233 	81464.8233 	38630.2255 	399.7204 	67.2606 	587.3433 	35.3833 	79.7032 	81.3350 	1325.5333 	2274.0300 	6.6233 	6.8033 	0.1800 	23922.2729 	58370.3744 	26205.6487 	112208.4531 	113719.8491 
1989Q2	38989.4392	22995 	8731 	7420 	12976 	12883 	-63 	0.80 	0.78 	0.81 	0.80 	0.88 	0.91 	1.03 	1.18 	1.01 	7.5 	-6.4 	5.3 	10.0 	17.0 	-11.2 	-0.9 	-8.3 	-9.4 	218.1495 	6.6667 	28.3333 	8.3333 	-6.3333 	4.0000 	15.6667 	14.0000 	1.3333 	113.9667 	5.3333 	-6.3333 	1.3333 	-6.3333 	109.5958 	103.0194 	106.1955 	49.6000 	72.3800 	76.9233 	77.8431 	72.0469 	79.8681 	81.2796 	86.0284 	65.3433 	61.9629 	72.5928 	73.1621 	72.1222 	73.1710 	106.0615 	108.0868 	112.5915 	113.2837 	110.0119 	99.1534 	99.6615 	101.7741 	101.2621 	99.3205 	98.8492 	101.1911 	97.0111 	98.9746 	18.4649 	7760.9044 	2373.0373 	2652.5060 	1004.5929 	9202.0322 	1797.4233 	3381.6882 	1379.7019 	255.9841 	5279.1334 	2782.7918 	329.3449 	6495.8374 	4058.2014 	4.8830 	5.0000 	78907.0788 	78907.0788 	43056.2833 	352.8504 	68.6022 	794.5900 	35.8693 	80.9151 	82.6715 	1395.8333 	2427.7833 	7.2500 	7.1133 	-0.1367 	24486.3649 	59451.8789 	26198.0426 	114185.7187 	115682.3754 
1989Q3	39313.10502	23228 	8800 	7454 	13172 	13011 	-8 	0.81 	0.78 	0.82 	0.81 	0.88 	0.91 	1.03 	1.18 	1.02 	11.4 	-0.2 	3.2 	13.8 	17.1 	-12.4 	4.2 	-6.4 	-11.3 	219.8750 	7.0000 	29.0000 	9.3333 	-1.3333 	4.0000 	16.0000 	16.0000 	4.0000 	115.0667 	5.0000 	-5.0000 	3.3333 	-3.6667 	110.0655 	103.3771 	106.6066 	45.6667 	72.8033 	77.7067 	78.1918 	73.4546 	80.2703 	81.4889 	86.5155 	64.5067 	62.3906 	73.0188 	73.6184 	72.5783 	73.5552 	106.7272 	108.7447 	113.8477 	114.9026 	111.3477 	99.8605 	100.2654 	102.1961 	101.6657 	99.5553 	100.6211 	102.4907 	97.1568 	99.1052 	17.4975 	7916.8377 	2380.9404 	2765.1748 	1028.3667 	9352.5628 	1818.8829 	3478.7287 	1394.3885 	263.0905 	5363.1716 	2846.5816 	341.8790 	6593.1402 	4112.5170 	4.8480 	5.0000 	80430.3168 	80430.3168 	47798.8347 	318.0543 	69.1980 	949.0867 	36.0283 	82.0528 	83.8665 	1579.1333 	2646.1833 	7.6233 	7.1233 	-0.5000 	25125.1100 	60915.0622 	26197.9601 	116932.4236 	118487.4249 
1989Q4	39748.87579	23505 	8907 	7481 	13475 	13172 	159 	0.82 	0.79 	0.82 	0.82 	0.88 	0.91 	1.04 	1.14 	1.08 	9.7 	-1.7 	2.9 	26.3 	13.0 	-10.0 	3.7 	-8.9 	-8.2 	224.4764 	8.0000 	25.3333 	8.0000 	-1.6667 	3.6667 	19.3333 	22.0000 	0.6667 	114.6667 	3.3333 	1.6667 	3.6667 	-4.6667 	112.4143 	104.3851 	108.2509 	47.0000 	73.0833 	77.8500 	78.1786 	74.5383 	80.8004 	82.0085 	87.0008 	65.3467 	62.7958 	73.4810 	74.0564 	73.0014 	73.9408 	107.5060 	109.6861 	115.1308 	116.7230 	112.8330 	100.5817 	100.7562 	102.6199 	102.1899 	99.6789 	102.2832 	103.5612 	97.5504 	99.4758 	18.8141 	8083.9177 	2408.4666 	2888.8130 	1054.1318 	9452.4809 	1826.3852 	3556.0800 	1440.1873 	268.4235 	5474.9302 	2916.6762 	353.1745 	6664.3810 	4145.2998 	4.9483 	5.0000 	82578.3915 	82578.3915 	53356.5695 	295.1982 	70.8140 	1064.9367 	35.5309 	82.8484 	84.6320 	1570.5000 	2687.6567 	8.9567 	7.5700 	-1.3867 	25850.9711 	62176.8309 	26278.4629 	119689.3448 	121261.1263 
1990Q1	40218.74306	23781 	9025 	7525 	13756 	13484 	159 	0.82 	0.79 	0.83 	0.83 	0.88 	0.92 	1.04 	1.10 	1.21 	5.3 	-5.3 	5.1 	18.7 	19.4 	-6.0 	12.1 	0.5 	-1.8 	222.1757 	8.0000 	26.3333 	10.3333 	-1.6667 	4.0000 	17.0000 	17.0000 	13.6667 	114.0333 	3.6667 	3.6667 	4.0000 	-5.6667 	112.5950 	105.3932 	108.8675 	48.7333 	73.8433 	77.9733 	77.9253 	75.7784 	81.2983 	82.6478 	87.5380 	66.2900 	63.2537 	74.0022 	74.5210 	73.4822 	74.3349 	108.4318 	110.7618 	116.5058 	118.6825 	114.5479 	101.3200 	101.3839 	103.0112 	103.1446 	99.3725 	103.9096 	104.7586 	98.0358 	98.9696 	19.3742 	8311.0283 	2429.9943 	3025.7240 	1082.9791 	9574.9508 	1826.3093 	3634.0271 	1473.8268 	269.3845 	5636.7369 	3016.6566 	362.3671 	6771.3684 	4215.2734 	5.0068 	4.8667 	82035.8297 	82035.8297 	55530.2285 	285.0584 	74.5691 	1503.6133 	35.6445 	83.9752 	85.8022 	1852.7667 	2664.5167 	8.8733 	8.4667 	-0.4067 	26608.5450 	63746.3998 	26387.1248 	122415.6517 	124129.3857 
