DATE	YER	PCR	ITR	GCR	MTR	XTR	SZR	YED	PCD	ITD	GCD	MTD	XTD	TOT	EEN	USD	QTAUF	QTEXPA	QTLAG	QTPR	QTPRO	QTBAUF	QTBPR	QTBBGL	QTBAGL	ECOSEN	INDSEN	KTPROL	KTAUF	KTAUSL	KTLAG	KTPRON	KTVPN	BAUVPN	EECOS	EINDSE	EBAUSE	EHANSE	EKONSE	IFOERW	IFOKL	IFOGL	PMI	HICP	HICP-FO	HICP-PF	HICP-UF	HICP-G	HICP-IG	HICP-GX	HICP-E	HICP-S	HICP-XA	HICP-XE	HICP-XF	HICP-XG	VPIG86	VPI-WOH8	TLIG86	TLIARG86	TLIANG86	GHPIG	GHPIOS	GHPIGG	GHPIGL	GHPIGK	GHPIVBG	GHPIKONG	GHPIINVG	GHPIINTG	OEL	EXPG	EXP6	EXP7	EXP8	IMPG	IMP6	IMP7	IMP8	EXP-US	EXP-EU	EXP-DE	IMP-US	IMP-EU	IMP-DE	ALQN	ALQNSA	ALOSM	ALOSW	OFST	STANDR	INDPROD	ATX	M1	M2	M3	DAX	DowJones	STI	SEKMRE	YIELD	DCR-HH	DCR-F	DCR-G	DEBT	DCR
1987Q4	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	1.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	2.0 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	3.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	4.0000 	5.0000 	5.0000 	6.0000 	6.0000 	6.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	7.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	8.0000 	9.0000 	9.0000 	9.0000 	9.0000 	9.0000 	9.0000 	10.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 	11.0000 
1988Q1	35116.5 	19582.4 	7934.0 	7267.2 	11291.3 	11333.0 	291.2 	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	1.0 	1.1 	1.2 	-20.7 	-32.8 	12.5 	5.5 	3.5 	-24.2 	-10.8 	-21.9 	-22.9 	100.80 	-9.00 	6.0 	-19.0 	-31.0 	12.0 	3.0 	6.0 	-8.3 	103.4 	-3.7 	-18.0 	-4.7 	-13.7 	99.8 	95.4 	91.0 	56.1 	81.0 	88.4 	90.1 	85.9 	86.0 	84.8 	85.2 	83.2 	72.8 	80.9 	80.5 	78.9 	80.1 	103.0 	104.4 	106.6 	105.6 	105.0 	98.4 	98.4 	101.5 	101.4 	99.4 	103.1 	103.8 	97.2 	94.9 	15.8 	6419.9 	2150.5 	2124.3 	886.8 	7795.0 	1484.0 	2788.1 	1336.8 	213.5 	4392.8 	2324.6 	257.9 	5559.5 	3470.3 	5.6 	5.5 	96002.9 	68980.2 	28590.1 	598.4 	63.0 	451.8 	32.5 	75.4 	76.8 	1028.6 	1990.7 	4.3 	6.9 	2.6 	21808.6 	54673.5 	25523.7 	104335.5 	105729.2 
1988Q2	35464.1 	19744.7 	8077.5 	7300.6 	11236.3 	11485.8 	91.7 	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	1.0 	1.1 	1.1 	-12.2 	-25.5 	8.6 	9.3 	6.3 	-19.5 	-6.5 	-15.5 	-16.1 	102.17 	-5.00 	13.7 	-12.3 	-26.3 	8.0 	6.0 	9.0 	-5.3 	106.9 	-1.3 	-20.0 	-3.0 	-11.0 	102.7 	98.2 	93.9 	56.9 	81.2 	88.9 	90.3 	85.2 	86.0 	84.8 	85.6 	81.9 	73.4 	81.2 	80.9 	79.4 	80.6 	103.4 	104.9 	107.8 	106.4 	105.7 	98.5 	98.6 	101.3 	101.2 	99.2 	102.1 	103.3 	96.3 	95.7 	16.1 	6863.1 	2233.8 	2367.6 	917.0 	8025.3 	1530.3 	2907.7 	1368.6 	251.8 	4713.4 	2503.9 	260.9 	5677.2 	3578.9 	5.3 	5.4 	90061.9 	68914.6 	29223.7 	553.6 	64.1 	460.3 	33.2 	76.5 	77.9 	1066.3 	2042.1 	4.1 	6.8 	2.8 	22353.2 	55753.2 	25691.2 	106185.3 	107597.0 
1988Q3	35767.4 	19945.0 	8153.8 	7327.9 	11929.2 	12033.6 	236.3 	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	1.0 	1.2 	1.0 	-7.2 	-21.1 	5.7 	13.3 	7.5 	-12.2 	2.4 	-6.7 	-13.6 	103.03 	-1.67 	18.0 	-6.7 	-20.0 	6.0 	8.0 	13.3 	-6.7 	110.2 	2.0 	-12.0 	-2.0 	-9.3 	104.0 	99.7 	95.6 	56.2 	81.7 	89.2 	90.3 	83.7 	86.3 	85.2 	86.0 	81.8 	73.9 	81.5 	81.3 	79.9 	81.1 	104.0 	105.7 	108.9 	107.4 	106.6 	99.1 	99.3 	101.5 	101.5 	99.1 	101.5 	102.8 	96.6 	96.6 	14.1 	7108.3 	2297.0 	2416.0 	933.7 	8439.0 	1597.0 	3172.6 	1411.4 	257.5 	4836.2 	2610.9 	307.0 	5994.6 	3829.0 	5.2 	5.3 	87185.0 	68358.1 	31866.2 	493.3 	65.9 	491.6 	33.9 	77.6 	79.1 	1157.2 	2078.6 	5.6 	7.0 	1.4 	22852.7 	56732.9 	25775.0 	107940.5 	109374.3 
1988Q4	36214.8 	20134.1 	8121.6 	7361.9 	11800.1 	12057.3 	340.0 	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	1.0 	1.1 	1.1 	0.7 	-13.5 	5.4 	16.3 	13.2 	-4.1 	3.2 	-0.3 	-11.7 	104.03 	2.33 	21.3 	-0.7 	-14.7 	5.7 	13.7 	16.7 	8.3 	113.3 	5.0 	-10.7 	1.7 	-6.7 	104.5 	101.3 	98.2 	55.7 	81.8 	88.9 	90.2 	83.5 	86.5 	85.4 	86.4 	81.2 	74.5 	81.9 	81.8 	80.4 	81.6 	104.5 	106.3 	110.2 	108.5 	107.6 	99.1 	99.5 	101.6 	101.2 	99.5 	101.0 	102.6 	96.3 	97.3 	13.1 	7419.4 	2305.0 	2542.8 	949.6 	8551.6 	1658.6 	3192.6 	1423.0 	251.8 	5064.9 	2736.8 	288.7 	6128.6 	3891.7 	5.1 	5.2 	85426.4 	68207.0 	35590.9 	446.0 	66.0 	534.1 	34.5 	78.7 	80.3 	1251.0 	2130.8 	5.8 	6.7 	0.9 	23374.0 	57952.2 	25828.3 	110103.0 	111560.2 
1989Q1	36611.9 	20325.0 	8515.0 	7386.5 	12157.1 	12579.6 	-37.2 	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	1.0 	1.2 	1.1 	-1.2 	-12.2 	6.9 	15.4 	14.2 	-12.9 	1.4 	-7.9 	-8.0 	104.20 	3.00 	25.3 	1.3 	-9.7 	6.0 	14.0 	16.3 	4.7 	113.3 	5.7 	-7.3 	-0.3 	-6.7 	105.0 	102.0 	98.9 	53.4 	82.5 	88.7 	90.2 	83.6 	86.9 	86.0 	87.0 	81.9 	75.1 	82.4 	82.2 	80.9 	82.1 	105.3 	107.3 	111.5 	109.7 	108.5 	99.6 	99.7 	101.4 	101.4 	99.4 	101.0 	102.9 	96.0 	98.3 	17.0 	7589.4 	2186.4 	2549.1 	985.4 	7224.3 	1427.8 	2725.3 	1547.7 	251.9 	5188.5 	2738.0 	309.4 	6187.5 	4154.1 	5.0 	4.9 	83158.4 	67775.4 	38712.0 	401.8 	67.1 	587.3 	35.3 	79.7 	81.3 	1286.0 	2272.8 	6.6 	6.8 	0.2 	23929.6 	58381.9 	26203.5 	112227.4 	113716.9 
1989Q2	36901.3 	20602.8 	8346.7 	7426.0 	12396.3 	12984.5 	-62.3 	0.8 	0.8 	0.9 	0.8 	1.0 	0.9 	1.0 	1.2 	1.0 	8.0 	-6.4 	4.0 	14.2 	15.0 	-11.2 	-0.9 	-8.3 	-9.4 	105.20 	6.67 	28.3 	8.3 	-6.3 	4.0 	15.7 	14.0 	1.3 	113.8 	5.3 	-6.3 	1.3 	-6.3 	105.6 	103.3 	101.1 	49.6 	83.0 	89.1 	89.8 	83.9 	87.5 	86.9 	87.4 	84.6 	75.6 	83.0 	82.6 	81.4 	82.5 	106.0 	108.1 	112.7 	111.0 	109.7 	100.1 	100.3 	101.6 	101.7 	99.4 	102.0 	103.6 	96.1 	99.0 	18.5 	7789.1 	2190.8 	2635.3 	1004.9 	7076.3 	1382.5 	2566.3 	1561.8 	257.2 	5282.3 	2777.7 	342.6 	6218.0 	4103.7 	4.9 	5.0 	79732.1 	67286.1 	43059.0 	351.0 	68.6 	794.6 	35.9 	80.9 	82.7 	1344.3 	2428.6 	7.3 	7.1 	-0.1 	24480.1 	59452.8 	26203.6 	114177.6 	115695.0 
1989Q3	37271.5 	20831.2 	8319.7 	7463.2 	12508.4 	12899.8 	266.0 	0.8 	0.8 	0.9 	0.8 	1.0 	0.9 	1.0 	1.2 	1.0 	8.6 	-2.2 	3.7 	16.3 	15.3 	-12.4 	4.2 	-6.4 	-11.3 	105.30 	7.00 	29.0 	9.3 	-1.3 	4.0 	16.0 	16.0 	4.0 	115.0 	5.0 	-5.0 	3.3 	-3.7 	106.0 	103.7 	101.5 	45.7 	83.5 	90.0 	90.2 	85.5 	87.9 	87.1 	87.9 	83.6 	76.1 	83.5 	83.1 	81.9 	82.9 	106.7 	108.8 	114.0 	112.5 	111.0 	100.9 	100.8 	102.0 	102.0 	99.6 	104.1 	104.9 	96.4 	99.1 	17.4 	7903.4 	2254.8 	2753.7 	1018.2 	7013.2 	1374.5 	2628.0 	1541.4 	246.2 	5342.1 	2830.2 	330.4 	6256.3 	4101.3 	4.8 	5.0 	79539.7 	67456.3 	47598.9 	317.8 	69.1 	949.1 	36.0 	82.1 	83.9 	1499.2 	2645.5 	7.6 	7.1 	-0.5 	25115.0 	60876.1 	26206.7 	116919.7 	118467.9 
1989Q4	37894.7 	21020.6 	8433.7 	7502.0 	12910.8 	13009.1 	840.1 	0.8 	0.8 	0.9 	0.8 	1.0 	0.9 	1.0 	1.1 	1.1 	9.4 	-0.8 	3.8 	22.7 	19.5 	-10.0 	3.7 	-8.9 	-8.2 	105.57 	8.00 	25.3 	8.0 	-1.7 	3.7 	19.3 	22.0 	0.7 	114.3 	3.3 	1.7 	3.7 	-4.7 	107.0 	105.3 	103.7 	47.0 	83.8 	90.1 	90.2 	86.8 	88.5 	87.7 	88.4 	84.7 	76.6 	84.0 	83.6 	82.4 	83.3 	107.5 	109.7 	115.3 	114.2 	112.5 	101.6 	101.5 	102.5 	102.5 	99.7 	105.5 	106.0 	96.9 	99.3 	18.7 	8002.1 	2264.4 	2837.6 	1040.8 	7169.9 	1402.4 	2712.2 	1590.0 	230.4 	5455.5 	2872.9 	371.4 	6354.7 	4179.9 	5.0 	5.0 	81571.8 	69656.5 	53407.1 	295.9 	71.0 	1064.9 	35.6 	82.8 	84.6 	1492.6 	2687.6 	9.0 	7.6 	-1.4 	25859.2 	62206.0 	26282.1 	119693.4 	121282.7 
1990Q1	38433.5 	21338.4 	8870.9 	7539.4 	13247.3 	13509.4 	422.6 	0.8 	0.8 	0.9 	0.8 	1.0 	1.0 	1.0 	1.1 	1.3 	8.0 	-4.2 	4.9 	15.6 	16.9 	-6.0 	12.1 	0.5 	-1.8 	105.43 	8.00 	26.3 	10.3 	-1.7 	4.0 	17.0 	17.0 	13.7 	113.7 	3.7 	3.7 	4.0 	-5.7 	108.0 	105.9 	103.9 	48.7 	84.7 	90.3 	89.9 	88.2 	89.0 	88.3 	89.0 	85.9 	77.1 	84.6 	84.1 	83.0 	83.8 	108.4 	110.8 	116.7 	116.1 	114.2 	102.3 	102.1 	103.1 	103.6 	99.3 	106.9 	107.2 	97.8 	99.6 	19.5 	8339.1 	2311.9 	3082.7 	1086.7 	7095.9 	1433.8 	2747.7 	1631.4 	227.3 	5628.3 	3036.1 	420.5 	6526.2 	4428.3 	5.0 	4.9 	82045.7 	71832.7 	55649.8 	285.4 	74.3 	1503.6 	35.6 	84.0 	85.8 	1754.6 	2666.0 	8.9 	8.5 	-0.4 	26602.4 	63699.4 	26383.4 	122442.2 	124062.6 
